Opening file net-stats-DvsPortset-2-30sec.txt
Threads inventory for n294-esxi-ht-04.sc.sero.gic.ericsson.se
Iteration Number=0
|                  Port                 |    Switch    | Thread Id |             Name            | Usage | Ready | Cstp | latencySen | exclaff | lcoreusage |   pps   |
|                 vmnic8                | DvsPortset-2 |  2103974  | Ens-Lcore-9  | 100.0 |  0.0  | 0.0  |     0      |    79   |    0.0     |    0    |
|                 vmnic9                | DvsPortset-2 |  2103974  | Ens-Lcore-9  | 100.0 |  0.0  | 0.0  |     0      |    79   |    0.0     |    0    |
|                 vmnic4                | DvsPortset-2 |  2103975  | Ens-Lcore-10 | 100.0 |  0.0  | 0.0  |     0      |    56   |    0.0     |    0    |
|                 vmnic5                | DvsPortset-2 |  2103975  | Ens-Lcore-10 | 100.0 |  0.0  | 0.0  |     0      |    56   |    0.0     |    0    |
|                 vmnic8                | DvsPortset-2 |  2103975  | Ens-Lcore-10 | 100.0 |  0.0  | 0.0  |     0      |    56   |    0.0     |    0    |
|                 vmnic9                | DvsPortset-2 |  2103975  | Ens-Lcore-10 | 100.0 |  0.0  | 0.0  |     0      |    56   |    0.0     |    0    |
|                 vmnic4                | DvsPortset-2 |  2103976  | Ens-Lcore-11 | 100.0 |  0.0  | 0.0  |     0      |    71   |    0.0     |    0    |
|                 vmnic5                | DvsPortset-2 |  2103976  | Ens-Lcore-11 | 100.0 |  0.0  | 0.0  |     0      |    71   |    0.0     |    0    |
|                 vmnic8                | DvsPortset-2 |  2103976  | Ens-Lcore-11 | 100.0 |  0.0  | 0.0  |     0      |    71   |    0.0     |    0    |
|                 vmnic9                | DvsPortset-2 |  2103976  | Ens-Lcore-11 | 100.0 |  0.0  | 0.0  |     0      |    71   |    0.0     |    0    |
